bookID,title,series,primary_author,all_authors,average_rating,ratings_count,text_reviews_count,isbn,isbn13,num_pages,publication_date,publisher,language,book_age,rating_popularity_score
53,Guts: The True Stories behind Hatchet and the Brian Books,,Gary Paulsen,['Gary Paulsen'],3.88,2067,334,0385326505,9780385326506,144,2001-01-23,Delacorte,English,24,29.62122847423788
54,Molly Hatchet - 5 of the Best,,Molly Hatchet,['Molly Hatchet'],4.33,6,0,1575606240,9781575606248,56,2003-06-10,Cherry Lane Music,English,22,8.425790945409506
57,A Changeling for All Seasons,Changeling Seasons #1,Angela Knight,"['Angela Knight', 'Sahara Kelly', 'Judy Mays', 'Marteeka Karland', 'Kate Douglas', 'Shelby Morgen', 'Lacey Savage', 'Kate Hill', 'Willa Okati']",3.76,167,4,1595962808,9781595962805,304,2005-11-01,Changeling,English,20,19.26610456255625
58,Changeling,Changeling  #1,Delia Sherman,['Delia Sherman'],3.6,978,111,0670059676,9780670059676,256,2006-08-17,Viking Juvenile,English,19,24.79151391310984
59,The Changeling Sea,,Patricia A. McKillip,['Patricia A. McKillip'],4.06,4454,302,0141312629,9780141312620,137,2003-04-14,Firebird,English,22,34.111236300013935
61,The Changeling,,Zilpha Keatley Snyder,['Zilpha Keatley Snyder'],4.17,1176,96,0595321801,9780595321803,228,2004-06-08,Iuniverse,English,21,29.484919527275352
63,The Changeling,,Kate Horsley,['Kate Horsley'],3.55,301,43,1590301943,9781590301944,339,2005-04-12,Shambhala,English,20,20.272015911680786
66,The Changeling,Daughters of England  #15,Philippa Carr,['Philippa Carr'],3.98,345,12,0449146979,9780449146972,369,1990-08-28,Ivy,English,35,23.268826324729744
67,The Known World,,Edward P. Jones,['Edward P. Jones'],3.83,29686,2626,0061159174,9780061159176,388,2006-08-29,Amistad,English,19,39.44311910596954
69,The Known World,,Edward P. Jones,['Edward P. Jones'],3.83,22,3,0060749911,9780060749910,576,2004-06-15,Harper,English,21,12.008942847008644
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,,Satyajit Das,['Satyajit Das'],3.83,1456,82,0273704745,9780273704744,334,2006-05-15,Ft,English,19,27.898236307727636
72,Artesia: Adventures in the Known World,,Mark Smylie,['Mark Smylie'],4.13,52,4,1932386106,9781932386103,352,2005-12-14,Archaia,English,20,16.397305602970263
74,The John McPhee Reader,John McPhee Reader  #1,John McPhee,"['John McPhee', 'William Howarth']",4.42,562,37,0374517193,9780374517199,416,1982-06-01,Farrar  Straus And Giroux,English,43,27.99309595637743
76,Heirs of General Practice,,John McPhee,['John McPhee'],4.17,268,22,0374519749,9780374519742,128,1986-04-01,Farrar  Straus And Giroux,English,39,23.32994645293967
78,Annals of the Former World,,John McPhee,['John McPhee'],4.34,3115,228,0374518734,9780374518738,720,1999-01-06,Farrar  Straus And Giroux,English,26,34.91228546633937
79,Coming Into the Country,,John McPhee,['John McPhee'],4.22,5704,261,0374522871,9780374522872,448,1991-04-01,Farrar  Straus And Giroux,English,34,36.49919466688986
80,La Place de la Concorde Suisse,,John McPhee,['John McPhee'],3.92,698,52,0374519323,9780374519322,160,1994-04-01,Farrar  Straus And Giroux,French,31,25.674630909556534
81,Giving Good Weight,,John McPhee,['John McPhee'],4.23,542,36,0374516006,9780374516000,288,1994-04-01,Farrar  Straus And Giroux,English,31,26.636772423320547
83,Rising from the Plains,,John McPhee,['John McPhee'],4.23,1341,98,0374520658,9780374520656,208,1987-11-01,Farrar  Straus And Giroux,English,38,30.464106023158788
85,The Heidi Chronicles,,Wendy Wasserstein,['Wendy Wasserstein'],3.75,1423,70,0822205106,9780822205104,81,2002-03-01,Dramatists Play Service,English,23,27.229594094894704
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,,Wendy Wasserstein,['Wendy Wasserstein'],3.84,2766,64,0679734996,9780679734994,249,1991-07-02,Vintage,English,34,30.433992882381794
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,,Heidi Hayes Jacobs,['Heidi Hayes Jacobs'],3.94,31,1,1596670231,9781596670235,138,2006-03-29,Routledge,English,19,13.654999457030922
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,,Heidi Baker,"['Heidi Baker', 'Rolland Baker']",4.46,860,53,0800793617,9780800793616,192,2003-09-01,Chosen,English,22,30.141101489747676
93,Heidi,Heidi  #1-2,Johanna Spyri,"['Johanna Spyri', 'Beverly Cleary', 'Angelo  Rinaldi']",3.99,153317,2257,0753454947,9780753454947,352,2002-11-15,Kingfisher,English,23,47.64167520443937
94,Getting Results with Curriculum Mapping,,Heidi Hayes Jacobs,['Heidi Hayes Jacobs'],3.25,55,5,0871209993,9780871209993,192,2004-11-15,Ascd,English,21,13.082392994889236
96,There's Always Enough: The Miraculous Move of God in Mozambique,,Rolland Baker,"['Rolland Baker', 'Heidi Baker']",4.46,34,6,1852402873,9781852402877,192,2003-04-28,Sovereign World,English,22,15.856852354242784
98,What to Expect the First Year,What to Expect,Heidi Murkoff,"['Heidi Murkoff', 'Sharon Mazel', 'Arlene Eisenberg', 'Sandee Hathaway', 'Mark D. Widome']",3.89,11797,659,0761129588,9780761129585,832,2003-10-16,Workman Publishing,English,22,36.471415834750154
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,,Heidi Fleiss,"['Heidi Fleiss', 'Libby Keatinge']",3.82,34,8,0972016414,9780972016414,123,2004-05-10,One Hour Entertainment,English,21,13.58142959488956
103,God Emperor of Dune,Dune Chronicles  #4,Frank Herbert,['Frank Herbert'],3.84,2785,166,0441294677,9780441294671,423,1987-06-15,Ace,English,38,30.46027067266464
105,Chapterhouse: Dune,Dune Chronicles #6,Frank Herbert,['Frank Herbert'],3.91,38778,568,0441102670,9780441102679,436,1987-07-01,Ace,English,38,41.31162949512728
106,Dune Messiah,Dune Chronicles #2,Frank Herbert,['Frank Herbert'],3.88,97494,2359,0441172695,9780441172696,331,1987-07-15,Ace,English,38,44.57171872964439
109,Heretics of Dune,Dune Chronicles  #5,Frank Herbert,['Frank Herbert'],3.86,272,20,0399128980,9780399128981,480,1984-04-16,Putnam,English,41,21.652561129413943
110,The Road to Dune,,Frank Herbert,"['Frank Herbert', 'Brian Herbert', 'Kevin J. Anderson']",3.88,4789,83,0765353709,9780765353702,426,2006-08-29,Tor Science Fiction,English,19,32.88022847877125
117,Heretics of Dune,Dune Chronicles #5,Frank Herbert,['Frank Herbert'],3.86,45388,644,0441328008,9780441328000,471,1987-08-15,Ace,English,38,41.390876746744304
119,The Lord of the Rings: The Art of the Fellowship of the Ring,,Gary Russell,['Gary Russell'],4.59,26153,102,0618212906,9780618212903,192,2002-06-12,Houghton Mifflin Harcourt,English,23,46.68836656453099
123,The Power of One,The Power of One  #1,Bryce Courtenay,['Bryce Courtenay'],4.35,45,13,0385732546,9780385732543,291,2005-09-13,Delacorte Books For Young Readers,English,20,16.65459007472756
130,Power of an Hour: Business and Life Mastery in One Hour a Week,,Dave Lakhani,['Dave Lakhani'],3.34,174,16,0471780936,9780471780939,205,2006-05-19,Wiley,English,19,17.25038515290454
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,,Louis E. Catron,['Louis E. Catron'],3.67,10,0,0325001537,9780325001531,240,2000-02-07,Heinemann Drama,English,25,8.80027565117002
133,eBay for Dummies,,Marsha Collier,['Marsha Collier'],3.5,111,9,0470045299,9780470045299,386,2006-10-30,Wiley,English,19,16.514746049532828
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,,Chris Malta,"['Chris Malta', 'Lisa Suttora']",3.62,24,0,0072262788,9780072262780,260,2006-01-24,Mcgraw-Hill,English,19,11.652330486022887
137,Starting an eBay Business for Dummies,,Marsha Collier,['Marsha Collier'],3.55,55,4,0764569244,9780764569241,384,2004-09-17,Wiley,English,21,14.28999850210978
138,eBay: Top 100 Simplified Tips & Tricks,,Julia Wilkinson,['Julia Wilkinson'],4.27,9,0,0471933821,9780471933823,260,2006-06-06,Wiley,English,19,9.832038347084575
141,Ruby Cookbook,,Lucas Carlson,"['Lucas Carlson', 'Leonard Richardson']",3.84,166,4,0596523696,9780596523695,873,2006-07-29,O'Reilly Media,English,19,19.65309623968034
142,Ruby Ann's Down Home Trailer Park Cookbook,,Ruby Ann Boxcar,['Ruby Ann Boxcar'],4.12,50,5,0806523492,9780806523491,240,2005-05-03,Citadel,English,20,16.19912160682422
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,,Ruby Ann Boxcar,['Ruby Ann Boxcar'],4.08,13,2,0806525363,9780806525365,206,2005-05-03,Citadel,English,20,10.767353904830255
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,,Rob Orsini,['Rob Orsini'],3.48,64,1,0596527314,9780596527310,514,2007-01-01,O'Reilly Media,English,18,14.526867699236815
151,Anna Karenina,,Leo Tolstoy,"['Leo Tolstoy', 'Richard Pevear', 'Larissa Volokhonsky']",4.05,16643,1851,0143035002,9780143035008,838,2004-05-31,Penguin Classics,English,21,39.36521053391647
152,Anna Karenina,,Leo Tolstoy,"['Leo Tolstoy', 'David Magarshack', 'Priscilla Meyer']",4.05,109420,5696,0451528611,9780451528612,960,2002-11-05,Signet,English,23,46.9919803320261
153,Anna Karenina,,Leo Tolstoy,"['Leo Tolstoy', 'Richard Pevear', 'Larissa Volokhonsky', 'John Bayley']",4.05,2904,309,0140449175,9780140449174,837,2003-01-30,Penguin,English,22,32.29546411060834
154,CliffsNotes on Tolstoy's Anna Karenina,,Marianne Sturman,"['Marianne Sturman', 'Leo Tolstoy']",3.85,16,3,0822001837,9780822001836,80,1965-11-26,Cliffs Notes,English,60,10.907871374616432
155,Anna Karenina,,Leo Tolstoy,"['Leo Tolstoy', 'Amy Mandelker', 'Constance Garnett']",4.05,9564,726,1593080271,9781593080273,803,2003-07-01,Barnes & Noble Classics,English,22,37.12175682159113
156,Anna Karenina,,Leo Tolstoy,"['Leo Tolstoy', 'Louise Maude', 'Aylmer Maude']",4.05,474,72,0486437965,9780486437965,752,2004-11-23,Dover Publications,English,21,24.961424956340295
157,Anna Karenina,,Leo Tolstoy,"['Leo Tolstoy', 'Constance Garnett', 'Amy Mandelker']",4.05,303,48,1593081774,9781593081775,803,2004-08-26,Barnes & Noble,English,21,23.153962190695196
159,Dinner with Anna Karenina,,Gloria Goldreich,['Gloria Goldreich'],2.99,411,65,0778322270,9780778322276,360,2006-01-28,Mira,English,19,18.002859814555087
160,Tolstoy: Anna Karenina,,Anthony Thorlby,['Anthony Thorlby'],4.19,1204,33,0521313252,9780521313254,128,1987-11-26,Cambridge University,English,38,29.724844004424728
162,Untouchable,,Mulk Raj Anand,"['Mulk Raj Anand', 'E.M. Forster']",3.71,3429,279,0140183957,9780140183955,160,1990-07-03,Penguin,English,35,30.200570653993545
163,The Untouchable,,John Banville,['John Banville'],3.95,2163,216,0679767479,9780679767473,367,1998-06-30,Vintage,English,27,30.33486887786717
164,The Untouchables,,Eliot Ness,"['Eliot Ness', 'Oscar Fraley']",3.89,613,31,1568491980,9781568491981,256,1996-02-01,Buccaneer,English,29,24.973780270492384
166,Dalit: The Black Untaouchables of India,,V.T. Rajshekar,"['V.T. Rajshekar', 'Y.N. Kly']",4.2,10,0,0932863051,9780932863058,100,1995-01-28,Clarity,English,30,10.071160145753158
168,Growing Up Untouchable in India: A Dalit Autobiography,,Vasant Moon,"['Vasant Moon', 'Gail Omvedt', 'Eleanor Zelliot']",3.65,16,4,0742508803,9780742508804,224,2000-12-20,Rowman & Littlefield Publishers,English,25,10.34122870580519
171,The Evidence-Based Social Work Skills Book,,Barry R. Cournoyer,['Barry R. Cournoyer'],3.4,10,0,0205358624,9780205358625,216,2003-09-22,Pearson,English,22,8.15284392751446
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",,John Carratello,"['John Carratello', 'Patty Carratello', 'Theresa Wright']",4.0,17,0,1557344035,9781557344038,48,1991-09-28,Teacher Created Resources,English,34,11.561487031584658
180,Wrinkles in Time,,George Smoot,"['George Smoot', 'Keay Davidson']",4.01,1035,23,0380720442,9780380720446,360,1994-10-01,Harper Perennial,English,31,27.841920915505906
181,A Wrinkle in Time: With Related Readings,A Wrinkle in Time Quintet #1,Madeleine L'Engle,"[""Madeleine L'Engle""]",4.0,36,6,0821925326,9780821925324,250,2002-05-01,Emc/Paradigm,English,23,14.443671650576897
201,Una arruga en el tiempo – A Wrinkle in Time,,Madeleine L'Engle,"[""Madeleine L'Engle""]",4.0,6,1,0606105263,9780606105262,205,1984-06-01,Turtleback,Spanish,41,7.783640596221253
204,The Long Shadow,The Morland Dynasty  #6,Cynthia Harrod-Eagles,['Cynthia Harrod-Eagles'],4.12,376,17,0751506435,9780751506433,367,1994-06-01,Little  Brown Book Group,English,31,24.440850172285806
208,A Shadow in Summer,Long Price Quartet  #1,Daniel Abraham,['Daniel Abraham'],3.6,9852,633,0765313405,9780765313409,331,2006-03-07,Tor,English,19,33.103912522760915
213,New Hope for the Dead,Hoke Mosely #2,Charles Willeford,"['Charles Willeford', 'James Lee Burke']",3.9,821,78,1400032490,9781400032495,244,2004-08-10,Vintage Crime/Black Lizard,English,21,26.1757875407191
214,Sideswipe: A Hoke Moseley Novel,,Charles Willeford,"['Charles Willeford', 'Lawrence Block']",4.05,731,72,1400032482,9781400032488,215,2005-03-08,Vintage Crime/Black Lizard,English,20,26.71291108154331
216,Miami Blues,Hoke Moseley #1,Charles Willeford,"['Charles Willeford', 'Elmore Leonard']",3.94,2897,178,1400032466,9781400032464,191,2004-08-10,Vintage Crime/Black Lizard,English,21,31.408797924149674
230,The Burnt Orange Heresy,Vintage Crime/Black Lizard,Charles Willeford,['Charles Willeford'],3.89,98,11,0679732527,9780679732525,144,1990-10-03,Vintage,English,35,17.875016217023553
231,I am Charlotte Simmons,,Tom Wolfe,['Tom Wolfe'],3.42,20888,1688,0312424442,9780312424442,738,2005-08-30,Picador Usa,English,20,34.018664703948446
237,Poetry for Young People: Edward Lear,,Edward Lear,"['Edward Lear', 'Laura Huliska-Beith', 'Edward Mendelson']",3.91,66,19,0806930772,9780806930770,48,2001-10-01,Sterling,English,24,16.440348141818678
244,The Puffin Book of Nonsense Verse,,Quentin Blake,['Quentin Blake'],4.02,81,6,0140366601,9780140366600,287,1996-10-03,Puffin,English,29,17.715011374002298
245,Henry Miller on Writing,,Henry Miller,"['Henry Miller', 'Thomas H. Moore']",4.22,981,52,0811201120,9780811201124,217,1964-02-01,New Directions,English,61,29.074075321255844
249,Tropic of Cancer,,Henry Miller,"['Henry Miller', 'Jiří Níl']",3.68,53206,2376,0802131786,9780802131782,318,1994-01-06,Grove,English,31,40.04555850388659
250,Tropic of Capricorn,,Henry Miller,['Henry Miller'],3.78,14872,459,0802151825,9780802151827,348,1994-01-13,Grove,English,31,36.31560446150002
251,Nexus,The Rosy Crucifixion  #3,Henry Miller,['Henry Miller'],4.1,3261,58,0802151787,9780802151780,316,1994-01-13,Grove,English,31,33.16939271104193
252,Sexus,The Rosy Crucifixion  #1,Henry Miller,['Henry Miller'],3.98,7805,251,0802151809,9780802151803,506,1994-01-12,Grove,English,31,35.67133883200743
253,The Air-Conditioned Nightmare,,Henry Miller,['Henry Miller'],3.83,2699,142,0811201066,9780811201063,292,1970-01-17,New Directions,English,55,30.26085700913097
264,The Portrait of a Lady,,Henry James,"['Henry James', 'Patricia Crick']",3.78,61640,1951,0141439637,9780141439631,797,2003-09-30,Penguin Classics,English,22,41.68993189737899
269,The Portrait of a Lady,,Henry James,"['Henry James', 'Gabriel Brownstein', 'Mary Cregan']",3.78,392,41,1593080964,9781593080969,635,2004-01-16,Barnes  Noble Classics,English,21,22.581000332865806
277,Writing,,Marguerite Duras,['Marguerite Duras'],3.75,778,44,1571290532,9781571290533,91,1999-05-06,Brookline,English,26,24.967541422015305
278,The War,,Marguerite Duras,"['Marguerite Duras', 'Barbara Bray']",3.85,963,65,1565842219,9781565842212,192,1994-08-01,The New,English,31,26.4537014842506
285,Love Letters,,Kahlil Gibran,"['Kahlil Gibran', 'Suheil Bushrui', 'Salma H. Al-Kuzbari']",3.68,203,8,1851681825,9781851681822,178,1999-07-01,One World (Uk),English,26,19.570681577346715
290,Jesus the Son of Man,,Kahlil Gibran,"['Kahlil Gibran', 'جبران خليل جبران']",3.98,1308,82,0394431243,9780394431246,216,1995-02-21,Knopf,English,30,28.5645346883214
291,The Broken Wings,,Kahlil Gibran,"['Kahlil Gibran', 'جبران خليل جبران', 'Anthony Rizcallah Ferris']",3.92,6432,517,0806501901,9780806501901,132,2003-03-03,Citadel,English,22,34.37524938393113
295,Treasure Island,,Robert Louis Stevenson,['Robert Louis Stevenson'],3.83,318753,6734,0753453800,9780753453803,311,2001-09-15,Kingfisher,English,24,48.53442996043531
297,Treasure Island,,Robert Louis Stevenson,['Robert Louis Stevenson'],3.83,5967,276,1416500294,9781416500292,245,2005-06-01,Simon & Schuster,English,20,33.298660153414176
298,Treasure Island,,Robert Louis Stevenson,"['Robert Louis Stevenson', 'N.C. Wyeth', 'Timothy Meis']",3.83,104,14,0689854684,9780689854682,64,2003-07-01,Atheneum Books For Young Readers,English,22,17.824668141103313
302,Treasure Island,Great Illustrated Classics,Deidre S. Laiken,"['Deidre S. Laiken', 'A.J. McAllister', 'Robert Louis Stevenson']",4.05,91,16,1577658051,9781577658054,232,2006-01-31,Abdo Publishing,English,19,18.313243737048612
313,100 Years of Lynchings,,Ralph Ginzburg,['Ralph Ginzburg'],4.61,88,4,0933121180,9780933121188,270,1996-11-22,Black Classic,English,29,20.692613664465163
324,Cien años de soledad,,Gabriel García Márquez,['Gabriel García Márquez'],4.07,63,7,0785950109,9780785950103,448,1990-01-01,French & European,Spanish,35,16.926654149273865
330,On Beyond Zebra!,,Dr. Seuss,['Dr. Seuss'],4.04,2815,164,0394800842,9780394800844,64,1955-09-12,Random House Books For Young Readers,English,70,32.09001377780285
332,The Wedding Clause,,Debbie Raleigh,['Debbie Raleigh'],3.6,95,13,0821778250,9780821778258,256,2005-06-07,Zebra,English,20,16.431653489284212
333,The Zebra Wall,,Kevin Henkes,['Kevin Henkes'],3.44,217,24,0060733039,9780060733032,147,2005-02-15,Greenwillow,English,20,18.522663015994464
337,El perfume: Historia de un asesino,,Patrick Süskind,['Patrick Süskind'],4.02,4136,255,8432216062,9788432216060,239,2002-06-01,Booket,Spanish,23,33.47745918917487
348,The Door Into Summer,,Robert A. Heinlein,['Robert A. Heinlein'],4.01,17232,649,0345413997,9780345413994,304,1997-06-17,Del Rey,English,28,39.115871531419124
350,Stranger in a Strange Land,,Robert A. Heinlein,['Robert A. Heinlein'],3.92,251872,6241,0441788386,9780441788385,528,1991-10-01,Ace,English,34,48.75178666312324
356,Time for the Stars,Heinlein's Juveniles  #10,Robert A. Heinlein,['Robert A. Heinlein'],3.97,6898,200,0765314932,9780765314932,256,2006-08-08,Tor,English,19,35.09135305760805
359,The Salmon of Doubt,Dirk Gently  #3,Douglas Adams,['Douglas Adams'],3.93,22091,746,0345455290,9780345455291,298,2005-04-26,Del Rey,English,20,39.31167536591284
362,Wish You Were Here: The Official Biography of Douglas Adams,,Nick  Webb,['Nick  Webb'],4.14,2623,49,0345476514,9780345476517,368,2005-12-27,Del Rey,English,20,32.591964321264875
367,Douglas Adams's Starship Titanic,,Terry Jones,['Terry Jones'],3.6,885,84,0345368436,9780345368430,256,1998-10-27,Ballantine,English,27,24.43218102217829
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,,Douglas Adams,"['Douglas Adams', 'Christopher Cerf']",3.93,5,0,1417622857,9781417622856,336,2003-07-01,Turtleback,English,22,7.041614714066256
382,The Phantom Tollbooth: A Children's Play in Two Acts,,Susan Nanus,"['Susan Nanus', 'Norton Juster']",4.13,100,13,0573650969,9780573650963,72,2011-01-12,Samuel French,English,14,19.0604477345544
385,On Bullshit,,Harry G. Frankfurt,['Harry G. Frankfurt'],3.57,9358,995,0691122946,9780691122946,67,2005-01-30,Princeton University,English,20,32.6444146023814
386,Another Bullshit Night in Suck City,,Nick Flynn,['Nick Flynn'],3.78,9318,907,0393329402,9780393329407,347,2005-09-12,W. W. Norton &,English,20,34.548484089869774
397,The Gettysburg Address,,Abraham Lincoln,"['Abraham Lincoln', 'Michael McCurdy']",4.53,5239,76,0395883970,9780395883976,32,1998-02-02,Hmh Books For Young Readers,English,27,38.795267801237344
399,Underworld,,Don DeLillo,['Don DeLillo'],3.92,1505,175,0684848155,9780684848150,827,1998-07-09,Scribner,English,27,28.683472640770567
400,Libra,,Don DeLillo,['Don DeLillo'],3.99,11857,564,0140156046,9780140156041,480,1991-05-01,Penguin,English,34,37.42922451682659
403,Americana,,Don DeLillo,['Don DeLillo'],3.43,393,55,0140119485,9780140119480,377,1989-07-06,Penguin,English,36,20.498883618891913
404,Running Dog,,Don DeLillo,['Don DeLillo'],3.43,1356,72,0679722947,9780679722946,256,1989-07-17,Vintage Contemporaries,English,36,24.740698593233603
406,Cosmopolis,,Don DeLillo,['Don DeLillo'],3.22,460,41,0743244257,9780743244251,224,2004-04-06,Scribner,English,21,19.74954169844921
407,Great Jones Street,,Don DeLillo,['Don DeLillo'],3.48,2492,145,0140179178,9780140179170,272,1994-01-01,Penguin,English,31,27.21792245066198
408,The Names,,Don DeLillo,['Don DeLillo'],3.64,3100,212,0679722955,9780679722953,339,1989-07-17,Vintage,English,36,29.263706905525638
410,V.,,Thomas Pynchon,['Thomas Pynchon'],3.96,1415,177,0060930217,9780060930219,547,2005-07-05,Harper Perennial Modern Classics,English,20,28.732141446044512
411,The Crying of Lot 49,,Thomas Pynchon,['Thomas Pynchon'],3.69,2161,230,0060931671,9780060931674,152,1999-04-01,Harper Perennial,English,26,28.334731403354876
412,Gravity's Rainbow,,Thomas Pynchon,['Thomas Pynchon'],4.01,762,213,0140283382,9780140283389,784,2000-01-01,Penguin,English,25,26.615404705450672
413,Mason & Dixon,,Thomas Pynchon,"['Thomas Pynchon', 'Christophe Claro', 'Brice Matthieussent']",4.07,8086,602,0312423209,9780312423209,773,2004-01-03,Picador Usa,English,21,36.6219133703
415,Gravity's Rainbow,,Thomas Pynchon,['Thomas Pynchon'],4.01,29764,2164,0143039946,9780143039945,776,2006-10-31,Penguin,English,19,41.30736482720583
416,Slow Learner: Early Stories,,Thomas Pynchon,['Thomas Pynchon'],3.5,334,34,0316724432,9780316724432,193,1985-04-30,Back Bay,English,40,20.349456861387733
418,Been Down So Long It Looks Like Up To Me,,Richard Fariña,"['Richard Fariña', 'Thomas Pynchon']",3.8,2473,220,0140189300,9780140189308,352,1996-08-29,Penguin Classics,English,29,29.691647901219245
